id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3251,Nordvik,Hydro,Reservoir,Store,Norway,4.63,,2006.0,2006.0,,62.869929,8.622095,,0.0,375.0,0.0,{nan},"{'JRC': {'JRC-N1236'}, 'OPSD': {'OEU-4082'}}"
3252,Ormhaugfossen,Hydro,Reservoir,Store,Norway,1.2,,2008.0,2008.0,,62.6389,11.39671,,0.0,5.5,0.0,{nan},"{'JRC': {'JRC-N1407'}, 'OPSD': {'OEU-4119'}}"
3253,Orje,Hydro,Reservoir,Store,Norway,1.75,,1942.0,1942.0,,59.480771,11.652347,890.0571428571428,64.9,9.5,1557.6,{nan},"{'JRC': {'JRC-N513'}, 'OPSD': {'OEU-4722'}}"
3254,Oma,Hydro,Reservoir,Store,Norway,1.4,,2011.0,2011.0,,60.221633,5.97853,,0.0,163.0,0.0,{nan},"{'JRC': {'JRC-N1634'}, 'OPSD': {'OEU-4118'}}"
3255,Oltesvik,Hydro,Reservoir,Store,Norway,5.0,,1935.0,1935.0,,58.851993,6.123135,45.82,2.9,37.5,229.1,{nan},"{'JRC': {'JRC-N320'}, 'OPSD': {'OEU-4117'}}"
3256,Oltedal,Hydro,Reservoir,Store,Norway,9.3,,1909.0,1909.0,,58.828059,6.055008,529.8924731182796,30.8,72.0,4928.0,{nan},"{'JRC': {'JRC-N319'}, 'OPSD': {'OEU-4116'}}"
3257,Olmedal,Hydro,Reservoir,Store,Norway,4.3,,2010.0,2010.0,,59.499256,6.007593,,0.0,158.0,0.0,{nan},"{'JRC': {'JRC-N1599'}, 'OPSD': {'OEU-4720'}}"
3258,Oljusjoen,Hydro,Pumped Storage,Store,Norway,50.0,,1975.0,1975.0,,61.003581,8.068592,1487.64,161.0,211.8,74382.0,{nan},"{'JRC': {'JRC-N512'}, 'OPSD': {'OEU-4719'}}"
3259,Oldereid,Hydro,Reservoir,Store,Norway,15.0,,1953.0,1953.0,,67.129685,14.955136,2233.133333333333,43.0,319.0,33497.0,{nan},"{'JRC': {'JRC-N318'}, 'OPSD': {'OEU-4114'}}"
3260,Oksenelvane,Hydro,Reservoir,Store,Norway,28.0,,1953.0,1953.0,,61.841527,5.802617,396.85714285714283,12.0,375.0,11112.0,{nan},"{'JRC': {'JRC-N511'}, 'OPSD': {'OEU-4716'}}"
